[00:00:01,040 --> 00:00:07,839] Ser we start
[00:00:04,000 --> 00:00:10,400] so last time I uh could not finish all
[00:00:07,839 --> 00:00:13,960] the kind of materials for the attention
[00:00:10,400 --> 00:00:16,640] uh so I will uh finish this part and
[00:00:13,960 --> 00:00:19,640] then we'll move to
[00:00:16,640 --> 00:00:19,640] CTC
[00:00:28,679 --> 00:00:31,960] um thank
[00:00:32,160 --> 00:00:37,680] so
[00:00:34,280 --> 00:00:41,039] the Monday lecture I was explaining
[00:00:37,680 --> 00:00:44,320] about the how Transformer uh the change
[00:00:41,039 --> 00:00:47,440] the kind of the performance uh in speech
[00:00:44,320 --> 00:00:50,800] recogition and then uh
[00:00:47,440 --> 00:00:54,239] the uh it's actually not the end of the
[00:00:50,800 --> 00:00:57,600] the competition uh after that the Google
[00:00:54,239 --> 00:01:00,840] proposed the uh the architecture called
[00:00:57,600 --> 00:01:03,840] conformer so I will first explain this
[00:01:00,840 --> 00:01:06,720] the conformer and the recently the our
[00:01:03,840 --> 00:01:08,560] group actually also proposed the the
[00:01:06,720 --> 00:01:15,080] work called Branch former so we will
[00:01:08,560 --> 00:01:18,040] also explain it so first um coner yeah
[00:01:15,080 --> 00:01:21,280] it's there are lot of the the something
[00:01:18,040 --> 00:01:23,560] former so conformer is one of them but
[00:01:21,280 --> 00:01:25,720] it's actually quite strong and widely
[00:01:23,560 --> 00:01:28,400] used in speech processing originally
[00:01:25,720 --> 00:01:30,000] proposed in speech recognition and then
[00:01:28,400 --> 00:01:32,040] now it's actually used in the menu of
[00:01:30,000 --> 00:01:36,880] the speech processing
[00:01:32,040 --> 00:01:39,920] applications conform actually has a the
[00:01:36,880 --> 00:01:43,759] quite kind of a uh important schemes to
[00:01:39,920 --> 00:01:45,719] capture the uh the two the information
[00:01:43,759 --> 00:01:49,759] uh which is very kind of appropriate for
[00:01:45,719 --> 00:01:52,759] speech modeling one is the global
[00:01:49,759 --> 00:01:55,719] information so what kind of a Global
[00:01:52,759 --> 00:01:57,479] Information uh the uh one is Global
[00:01:55,719 --> 00:02:00,240] Information and uh the other is the
[00:01:57,479 --> 00:02:02,719] local information and what kind of uh
[00:02:00,240 --> 00:02:06,719] the global information you can imagine
[00:02:02,719 --> 00:02:06,719] from the speech we we have to
[00:02:08,560 --> 00:02:13,920] capture local would be like a pH or some
[00:02:11,959 --> 00:02:17,879] kind of a other information that is
[00:02:13,920 --> 00:02:23,040] changing quite kind of the laidly right
[00:02:17,879 --> 00:02:25,640] Global Information in speech what would
[00:02:23,040 --> 00:02:30,280] be yeah speaker
[00:02:25,640 --> 00:02:30,280] information uh anything else
[00:02:32,280 --> 00:02:38,840] yeah emotion topic semantic syntactic
[00:02:36,560 --> 00:02:42,519] information which is quite important
[00:02:38,840 --> 00:02:44,400] actually so uh of course the primary I
[00:02:42,519 --> 00:02:46,480] would say important part is local
[00:02:44,400 --> 00:02:47,800] because we have to understand you know
[00:02:46,480 --> 00:02:51,360] what the
[00:02:47,800 --> 00:02:54,319] sound is kind of pronunciated but the
[00:02:51,360 --> 00:02:56,400] global is another kind of important part
[00:02:54,319 --> 00:02:59,480] so this is not only for speech
[00:02:56,400 --> 00:03:02,159] recognition the TTS speak uh the speaker
[00:02:59,480 --> 00:03:04,519] uh cognition speech summarization speech
[00:03:02,159 --> 00:03:06,920] translation all kind of spe speech
[00:03:04,519 --> 00:03:09,840] application this the combination of the
[00:03:06,920 --> 00:03:13,200] local and the global uh is quite
[00:03:09,840 --> 00:03:16,360] important and then confir is try to make
[00:03:13,200 --> 00:03:19,000] use of Boss Global Information can be
[00:03:16,360 --> 00:03:22,000] captured by a self attention which as
[00:03:19,000 --> 00:03:25,319] you might remember it actually has the
[00:03:22,000 --> 00:03:28,560] almost All Passes uh to kind of capture
[00:03:25,319 --> 00:03:31,480] the uh the the the old frames in
[00:03:28,560 --> 00:03:35,080] sentence and so on right and the uh
[00:03:31,480 --> 00:03:37,360] local information uh the can be captured
[00:03:35,080 --> 00:03:39,200] by any other models but the the
[00:03:37,360 --> 00:03:43,080] comilation new network is actually good
[00:03:39,200 --> 00:03:45,400] at this so uh conform actually try to
[00:03:43,080 --> 00:03:48,640] kind of combine this local and Global
[00:03:45,400 --> 00:03:51,319] information by using a different model
[00:03:48,640 --> 00:03:55,319] architecture and this is the originally
[00:03:51,319 --> 00:03:57,920] proposed in the AR transor but this the
[00:03:55,319 --> 00:04:00,360] the architecture itself is quite kind of
[00:03:57,920 --> 00:04:01,760] the powerful and can be apply to the
[00:04:00,360 --> 00:04:04,959] other architecture including the
[00:04:01,760 --> 00:04:09,079] attention based ASR and the
[00:04:04,959 --> 00:04:11,239] CDC okay so let's check the the
[00:04:09,079 --> 00:04:14,040] conformer uh the
[00:04:11,239 --> 00:04:16,720] architecture uh which is actually the
[00:04:14,040 --> 00:04:19,959] the extension of the
[00:04:16,720 --> 00:04:22,800] Transformer so this is just a review of
[00:04:19,959 --> 00:04:25,560] the Transformer architecture which is
[00:04:22,800 --> 00:04:29,000] that especially in the encoder we using
[00:04:25,560 --> 00:04:30,400] the the M self attention uh the feeld
[00:04:29,000 --> 00:04:34,120] neural network
[00:04:30,400 --> 00:04:37,520] resid connection position embedding and
[00:04:34,120 --> 00:04:42,880] CNN down sampling and so on that we kind
[00:04:37,520 --> 00:04:45,880] of studied last time right and the this
[00:04:42,880 --> 00:04:49,520] block is actually repeated several times
[00:04:45,880 --> 00:04:52,440] like a 12 areas or 18 dayas and so on
[00:04:49,520 --> 00:04:55,880] this block is actually extended I'm not
[00:04:52,440 --> 00:04:59,960] sure people can check it but actually
[00:04:55,880 --> 00:05:02,280] this part is almost identical
[00:04:59,960 --> 00:05:05,840] there is the the different kind of
[00:05:02,280 --> 00:05:08,240] blocks layers here one is the the
[00:05:05,840 --> 00:05:12,000] compostion layer and the other is a Fed
[00:05:08,240 --> 00:05:14,479] for neuron Network layer so basically uh
[00:05:12,000 --> 00:05:18,199] yeah that's a kind of a combination of
[00:05:14,479 --> 00:05:19,919] what we know but this combination was
[00:05:18,199 --> 00:05:22,199] turned out to be very important very
[00:05:19,919 --> 00:05:25,039] effective especially this compolation
[00:05:22,199 --> 00:05:28,520] part is again you know taking the local
[00:05:25,039 --> 00:05:30,319] uh the uh the information U and then
[00:05:28,520 --> 00:05:33,280] they try to kind
[00:05:30,319 --> 00:05:35,880] are the important speech information
[00:05:33,280 --> 00:05:38,880] there are several minor difference like
[00:05:35,880 --> 00:05:42,240] relative coding and additionally having
[00:05:38,880 --> 00:05:45,720] a p NE Network here so this is also
[00:05:42,240 --> 00:05:50,240] called macaron kind of how they say the
[00:05:45,720 --> 00:05:52,720] the uh the the pushing the the marar
[00:05:50,240 --> 00:05:56,280] like architecture in the FI Bo new
[00:05:52,720 --> 00:06:00,319] network so these kind of a three uh the
[00:05:56,280 --> 00:06:03,319] the uh extension of the uh the from the
[00:06:00,319 --> 00:06:05,720] Transformer so it's not very big changes
[00:06:03,319 --> 00:06:09,400] right just you know adding some kind of
[00:06:05,720 --> 00:06:12,759] existing known the architecture and then
[00:06:09,400 --> 00:06:15,840] making it as a one big block by the way
[00:06:12,759 --> 00:06:18,639] the the question in general which one is
[00:06:15,840 --> 00:06:21,120] having a more parameters in this block
[00:06:18,639 --> 00:06:21,120] and this
[00:06:21,639 --> 00:06:29,039] block it can be obvious but of course
[00:06:25,240 --> 00:06:30,400] right side right actually that the the
[00:06:29,039 --> 00:06:32,400] this
[00:06:30,400 --> 00:06:36,080] Fe part actually increase the model
[00:06:32,400 --> 00:06:37,800] parameters quite a lot so the conformer
[00:06:36,080 --> 00:06:41,319] generally have a twice
[00:06:37,800 --> 00:06:43,840] more parameters than the uh the
[00:06:41,319 --> 00:06:47,960] Transformer so this is also another
[00:06:43,840 --> 00:06:50,560] reason but anyway with the the conformer
[00:06:47,960 --> 00:06:53,360] uh the extension we usually have a very
[00:06:50,560 --> 00:06:56,000] good the performance
[00:06:53,360 --> 00:06:58,120] Improvement and then given this kind of
[00:06:56,000 --> 00:07:01,479] approaches our group also actually
[00:06:58,120 --> 00:07:04,759] studied the some kind of alternative to
[00:07:01,479 --> 00:07:09,240] the conformer which we call it branch
[00:07:04,759 --> 00:07:11,240] forer and this is the basically same uh
[00:07:09,240 --> 00:07:15,080] the the
[00:07:11,240 --> 00:07:18,759] concept uh that we try to use both
[00:07:15,080 --> 00:07:21,000] Global local architecture but instead of
[00:07:18,759 --> 00:07:24,120] uh the combining this
[00:07:21,000 --> 00:07:27,800] cascader we actually try to use the the
[00:07:24,120 --> 00:07:30,280] uh the global and local the architecture
[00:07:27,800 --> 00:07:33,560] in the kind of parallel manner Branch
[00:07:30,280 --> 00:07:37,960] man and then we actually call this
[00:07:33,560 --> 00:07:39,560] approach Branch former which is actually
[00:07:37,960 --> 00:07:44,280] the here in
[00:07:39,560 --> 00:07:48,240] the the maret self attention can capture
[00:07:44,280 --> 00:07:51,599] the the the global uh information and
[00:07:48,240 --> 00:07:54,520] the local part is actually combined by
[00:07:51,599 --> 00:07:57,520] the the the neural network and
[00:07:54,520 --> 00:08:01,759] compolation of uh neural network and
[00:07:57,520 --> 00:08:04,960] then we are the intent to design this
[00:08:01,759 --> 00:08:07,879] architecture because having a kind of
[00:08:04,960 --> 00:08:11,039] neural network to be a cascad the
[00:08:07,879 --> 00:08:13,639] combining would becomes kind of a uh the
[00:08:11,039 --> 00:08:16,400] neural network architecture itself very
[00:08:13,639 --> 00:08:18,159] deep right this one is actually from
[00:08:16,400 --> 00:08:20,560] here to here it is obvious that it is
[00:08:18,159 --> 00:08:23,520] very deep right although this has a kind
[00:08:20,560 --> 00:08:25,319] of several kind of the the the residual
[00:08:23,520 --> 00:08:28,520] connection to kind of mitigate this
[00:08:25,319 --> 00:08:30,520] issue but still this is very deep and
[00:08:28,520 --> 00:08:32,039] it's actually turns out that the coner
[00:08:30,520 --> 00:08:35,200] is a little bit more difficult to
[00:08:32,039 --> 00:08:37,599] optimize than the Transformer but once
