[00:00:00,420 --> 00:00:03,020] foreign
[00:00:03,920 --> 00:00:11,880] welcome to today's tutorial like this is
[00:00:08,160 --> 00:00:13,740] our second tutorial for ES net and for
[00:00:11,880 --> 00:00:16,619] this time we'll be firstly having a
[00:00:13,740 --> 00:00:18,420] warm-up session and then we'll be going
[00:00:16,619 --> 00:00:21,000] to the collab session that will be
[00:00:18,420 --> 00:00:23,580] having interactive jobs and showing how
[00:00:21,000 --> 00:00:26,820] we can add new jobs there and notice
[00:00:23,580 --> 00:00:30,199] that we'll be showing today how to add
[00:00:26,820 --> 00:00:34,980] new tasks and new models to our esgnet
[00:00:30,199 --> 00:00:38,160] and I'm detoshi and this is my email
[00:00:34,980 --> 00:00:42,239] so for today's agenda uh we will be
[00:00:38,160 --> 00:00:44,520] focusing majorly is on the why esdns can
[00:00:42,239 --> 00:00:46,559] support different switch tasks and that
[00:00:44,520 --> 00:00:48,899] will be continue to discuss what
[00:00:46,559 --> 00:00:51,360] components we need for new task in es9
[00:00:48,899 --> 00:00:54,840] but today's talk we'll be going through
[00:00:51,360 --> 00:00:56,760] the ASB spoof which is and has moving to
[00:00:54,840 --> 00:00:58,860] recognize whether the speech is a
[00:00:56,760 --> 00:01:02,160] synthesis or not so we'll be going to
[00:00:58,860 --> 00:01:04,080] the test can get briefly how the
[00:01:02,160 --> 00:01:06,720] mechanism is working for the as Facebook
[00:01:04,080 --> 00:01:08,700] and at last we'll be going to the collab
[00:01:06,720 --> 00:01:11,040] and going through the whole session
[00:01:08,700 --> 00:01:14,280] there and noting that you will be also
[00:01:11,040 --> 00:01:17,040] finished some like uh to fill some blind
[00:01:14,280 --> 00:01:19,380] into the original task so that you can
[00:01:17,040 --> 00:01:22,080] participate in the interactive jobs and
[00:01:19,380 --> 00:01:23,659] know how to add a new task from each of
[00:01:22,080 --> 00:01:27,180] the procedure
[00:01:23,659 --> 00:01:28,619] so before the talk I want to get your
[00:01:27,180 --> 00:01:30,119] attention there basically since we
[00:01:28,619 --> 00:01:32,880] follow almost the same installation
